,image,title,link
1,https://assets.blabbermouth.net/media/randyrhoadsremembered2019_420x237.jpg,Music Gear That Once Belonged To RANDY RHOADS Stolen From Musonia School Of Music,https://www.blabbermouth.net/news/music-gear-that-once-belonged-to-randy-rhoads-stolen-from-musonia-school-of-music/
2,https://assets.blabbermouth.net/media/chrisadlerindia2019_420x237.jpg,Ex-LAMB OF GOD Drummer CHRIS ADLER Is 'Impressed Beyond Words' By His Latest Visit To India,https://www.blabbermouth.net/news/ex-lamb-of-god-drummer-chris-adler-is-impressed-beyond-words-by-his-latest-visit-to-india/
3,https://assets.blabbermouth.net/media/jasonnewsteddec2018_420x237.jpg,Former METALLICA Bassist JASON NEWSTED Sells Walnut Creek Home For $2.3 Million,https://www.blabbermouth.net/news/former-metallica-bassist-jason-newsted-sells-walnut-creek-home-for-2-3-million/
4,https://assets.blabbermouth.net/media/JamesKottakSept2018Promo_420x237.jpg,Ex-SCORPIONS Drummer JAMES KOTTAK's Message To Immigrants And Refugees: 'Fix Your S**thole Country First',https://www.blabbermouth.net/news/ex-scorpions-drummer-james-kottaks-message-to-immigrants-and-refugees-fix-your-sthole-country-first/
5,https://assets.blabbermouth.net/media/kidrock2019promo_420x237.jpg,KID ROCK Breaks Silence After Drunken Rant At Nashville Bar,https://www.blabbermouth.net/news/kid-rock-breaks-silence-after-drunken-rant-at-nashville-bar/
6,https://assets.blabbermouth.net/media/alissawhitegluzmichaelamott2019_420x237.jpg,ARCH ENEMY's MICHAEL AMOTT Says ALISSA WHITE-GLUZ Has Been Treated 'Very Unfairly' By Metal Media In Recent Months,https://www.blabbermouth.net/news/arch-enemys-michael-amott-says-alissa-white-gluz-has-been-treated-very-unfairly-by-metal-media-in-recent-months/
7,https://assets.blabbermouth.net/media/SebastianBachNov2019Live_420x237.jpg,SEBASTIAN BACH Says He Had 'Nothing To Do' With 'Forever Wild' Vinyl Release For 'Record Store Day',https://www.blabbermouth.net/news/sebastian-bach-says-he-had-nothing-to-do-with-forever-wild-vinyl-release-for-record-store-day/
8,https://assets.blabbermouth.net/media/mickmarstheend2015march2019_420x237.jpg,MÖTLEY CRÜE's MICK MARS To Release Debut Solo Record In April 2020,https://www.blabbermouth.net/news/motley-crues-mick-mars-to-release-debut-solo-record-in-april-2020/
9,https://assets.blabbermouth.net/media/dirtyhoneybandnov2019_420x237.jpg,DIRTY HONEY Bassist Says 'It's A Good Time For Rock',https://www.blabbermouth.net/news/dirty-honey-bassist-says-its-a-good-time-for-rock/
10,https://assets.blabbermouth.net/media/lordibandoct2019_420x237.jpg,LORDI: Music Video For New Song 'I Dug A Hole In The Yard For You',https://www.blabbermouth.net/news/lordi-lyric-video-for-new-song-i-dug-a-hole-in-the-yard-for-you/
11,https://assets.blabbermouth.net/media/strypersept2018betterpromo_420x237.jpg,MICHAEL SWEET Says STRYPER Is 'The Most Logical Choice' For Opening Slot On MÖTLEY CRÜE's Tour With DEF LEPPARD And POISON,https://www.blabbermouth.net/news/michael-sweet-says-stryper-is-the-most-logical-choice-for-opening-slot-on-motley-crues-tour-with-def-leppard-and-poison/
12,https://assets.blabbermouth.net/media/ozzyosbournenov2019promo_420x237.jpg,Listen To OZZY OSBOURNE Talk About His New 'See You On The Other Side' Box Set,https://www.blabbermouth.net/news/listen-to-ozzy-osbourne-talk-about-his-new-see-you-on-the-other-side-box-set/
13,https://assets.blabbermouth.net/media/jayweinbergslipknotlittlepunkaug2019_420x237.jpg,SLIPKNOT's JAY WEINBERG Named World's Best Heavy Metal Drummer,https://www.blabbermouth.net/news/slipknots-jay-weinberg-named-worlds-best-heavy-metal-drummer/
14,https://assets.blabbermouth.net/media/creamgoodbyetourtop_420x237.jpg,CREAM: 'Goodbye Tour – Live 1968' 4CD Live Box Set To Be Released In February,https://www.blabbermouth.net/news/cream-goodbye-tour-live-1968-4cd-live-box-set-to-be-released-in-february/
15,https://assets.blabbermouth.net/media/wednesday13bandjuly2019_420x237.jpg,WEDNESDAY 13 Releases Cover Of GARY NUMAN's 'Films',https://www.blabbermouth.net/news/wednesday-13-releases-cover-of-gary-numans-films/
16,https://assets.blabbermouth.net/media/viviancampbellsolojan2019_420x237.jpg,VIVIAN CAMPBELL: 'For So Many Decades -  I Did Not Consider DIO A Credible Part Of My Legacy',https://www.blabbermouth.net/news/vivian-campbell-for-so-many-decades-i-did-not-consider-dio-a-credible-part-of-my-legacy/
17,https://assets.blabbermouth.net/media/amberiandawnoct2019_420x237_0.jpg,AMBERIAN DAWN Covers ABBA's 'Lay All Your Love On Me',https://www.blabbermouth.net/news/amberian-dawn-covers-abbas-lay-all-your-love-on-me/
18,https://assets.blabbermouth.net/media/kidrock2019promo_420x237.jpg,KID ROCK Slams OPRAH WINFREY In Onstage Rant At Nashville Bar (Video),https://www.blabbermouth.net/news/kid-rock-slams-oprah-winfrey-in-onstage-rant-at-nashville-bar-video/
19,https://assets.blabbermouth.net/media/delainbandnov2019new_420x237.jpg,DELAIN To Release 'Apocalypse & Chill' Album In February,https://www.blabbermouth.net/news/delain-to-release-apocalypse-chill-album-in-february/
20,https://assets.blabbermouth.net/media/ozzyosbournevidoct2019_420x237.jpg,The Music For OZZY OSBOURNE's New Album Was Written And Recorded In Four Days,https://www.blabbermouth.net/news/the-music-for-ozzy-osbournes-new-album-was-written-and-recorded-in-four-days/
21,https://assets.blabbermouth.net/media/charliebenanteanselmovegas_420x237.jpg,ANTHRAX's CHARLIE BENANTE Teams Up With PHILIP ANSELMO To Perform PANTERA Classics In Las Vegas (Video),https://www.blabbermouth.net/news/anthraxs-charlie-benante-teams-up-with-philip-anselmo-to-perform-pantera-classics-in-las-vegas-video/
22,https://assets.blabbermouth.net/media/kreatorlive2018collage_420x237.jpg,KREATOR Announces New Live Release 'London Apocalypticon - Live At The Roundhouse',https://www.blabbermouth.net/news/kreator-announces-new-live-release-london-apocalypticon-live-at-the-roundhouse/
23,https://assets.blabbermouth.net/media/ironmaidenwestham_420x237.jpg,IRON MAIDEN And WEST HAM UNITED Unveil Football Kit Collaboration,https://www.blabbermouth.net/news/iron-maiden-and-west-ham-united-unveil-football-kit-collaboration/
